ds,yhat,y,lockdown,peak_holiday,before_2020,after_2020
2015-01-01,8940381.0,8738599.0,0.0,0.0,1.0,0.0
2015-02-01,7580692.0,7630313.0,0.0,0.0,1.0,0.0
2015-03-01,9224555.0,9383835.0,0.0,0.0,1.0,0.0
2015-04-01,8541775.0,8832441.0,0.0,0.0,1.0,0.0
2015-05-01,9048793.0,9035420.0,0.0,0.0,1.0,0.0
2015-06-01,8612484.0,8692562.0,0.0,1.0,1.0,0.0
2015-07-01,8524799.0,7615995.0,0.0,1.0,1.0,0.0
2015-08-01,8386491.0,8802642.0,0.0,0.0,1.0,0.0
2015-09-01,8143638.0,8455633.0,0.0,0.0,1.0,0.0
2015-10-01,8905953.0,8730480.0,0.0,0.0,1.0,0.0
2015-11-01,8416810.0,8517075.0,0.0,0.0,1.0,0.0
2015-12-01,8525737.0,8516389.0,0.0,0.0,1.0,0.0
2016-01-01,8708821.0,8510994.0,0.0,0.0,1.0,0.0
2016-02-01,8027452.0,8145941.0,0.0,0.0,1.0,0.0
2016-03-01,9750353.0,9008425.0,0.0,0.0,1.0,0.0
2016-04-01,8572811.0,9131988.0,0.0,0.0,1.0,0.0
2016-05-01,9330664.0,10021995.0,0.0,0.0,1.0,0.0
2016-06-01,9989549.0,10208544.0,0.0,1.0,1.0,0.0
2016-07-01,9939710.0,9164541.0,0.0,1.0,1.0,0.0
2016-08-01,11333719.0,11580402.0,0.0,0.0,1.0,0.0
2016-09-01,11508188.0,11531883.0,0.0,0.0,1.0,0.0
2016-10-01,12107676.0,12305997.0,0.0,0.0,1.0,0.0
2016-11-01,12098824.0,12048909.0,0.0,0.0,1.0,0.0
2016-12-01,11944854.0,12047238.0,0.0,0.0,1.0,0.0
2017-01-01,12993940.0,11796581.0,0.0,0.0,1.0,0.0
2017-02-01,10227561.0,10640621.0,0.0,0.0,1.0,0.0
2017-03-01,12172468.0,12483992.0,0.0,0.0,1.0,0.0
2017-04-01,10332849.0,11493180.0,0.0,0.0,1.0,0.0
2017-05-01,11410205.0,12112465.0,0.0,0.0,1.0,0.0
2017-06-01,11607412.0,9922650.0,0.0,1.0,1.0,0.0
2017-07-01,12417739.0,11988615.0,0.0,1.0,1.0,0.0
2017-08-01,12573480.0,12698049.0,0.0,0.0,1.0,0.0
2017-09-01,12294804.0,12172620.0,0.0,0.0,1.0,0.0
2017-10-01,12668971.0,13395980.0,0.0,0.0,1.0,0.0
2017-11-01,13039819.0,13205754.0,0.0,0.0,1.0,0.0
2017-12-01,12973846.0,12959272.0,0.0,0.0,1.0,0.0
2018-01-01,14030723.0,13653900.0,0.0,0.0,1.0,0.0
2018-02-01,12305331.0,12334445.0,0.0,0.0,1.0,0.0
2018-03-01,13975869.0,14436887.0,0.0,0.0,1.0,0.0
2018-04-01,13414104.0,14788197.0,0.0,0.0,1.0,0.0
2018-05-01,14514195.0,14628436.0,0.0,0.0,1.0,0.0
2018-06-01,15353392.0,11952598.0,0.0,1.0,1.0,0.0
2018-07-01,15961875.0,16160624.0,0.0,1.0,1.0,0.0
2018-08-01,17101365.0,17845075.0,0.0,0.0,1.0,0.0
2018-09-01,17181505.0,17918742.0,0.0,0.0,1.0,0.0
2018-10-01,18303039.0,18887584.0,0.0,0.0,1.0,0.0
2018-11-01,18288340.0,18085649.0,0.0,0.0,1.0,0.0
2018-12-01,18634341.0,18291352.0,0.0,0.0,1.0,0.0
2019-01-01,19067417.0,18526848.0,0.0,0.0,1.0,0.0
2019-02-01,16978206.0,17246625.0,0.0,0.0,1.0,0.0
2019-03-01,20861288.0,20484664.0,0.0,0.0,1.0,0.0
2019-04-01,18616716.0,19879965.0,0.0,0.0,1.0,0.0
2019-05-01,20502746.0,19997409.0,0.0,0.0,1.0,0.0
2019-06-01,19310064.0,18310031.0,0.0,1.0,1.0,0.0
2019-07-01,22326762.0,23301375.0,0.0,1.0,1.0,0.0
2019-08-01,23403804.0,23527586.0,0.0,0.0,1.0,0.0
2019-09-01,24337073.0,24551616.0,0.0,0.0,1.0,0.0
2019-10-01,26763941.0,26539525.0,0.0,0.0,1.0,0.0
2019-11-01,25820524.0,25786562.0,0.0,0.0,1.0,0.0
2019-12-01,25409189.0,26501506.0,-1.0,0.0,1.0,0.0
2020-01-01,11222676.0,13377000.0,-1.0,0.0,0.0,1.0
2020-02-01,11180421.0,12994000.0,-1.0,0.0,0.0,1.0
2020-03-01,7317188.0,9015000.0,-1.0,0.0,0.0,1.0
2020-04-01,3442159.0,2481000.0,-1.0,0.0,0.0,1.0
2020-05-01,2553838.0,2282000.0,-1.0,0.0,0.0,1.0
2020-06-01,3210247.0,4228000.0,-1.0,1.0,0.0,1.0
2020-07-01,4129550.0,5515000.0,0.0,1.0,0.0,1.0
2020-08-01,4737627.0,5442000.0,0.0,0.0,0.0,1.0
2020-09-01,5503554.0,4782000.0,0.0,0.0,0.0,1.0
2020-10-01,4949813.0,4265000.0,0.0,0.0,0.0,1.0
2020-11-01,5922430.0,5414000.0,0.0,0.0,0.0,1.0
2020-12-01,5132247.0,5302000.0,0.0,0.0,0.0,1.0
2021-01-01,9131447.0,9964000.0,0.0,0.0,0.0,1.0
2021-02-01,9961809.0,9536000.0,0.0,0.0,0.0,1.0
2021-03-01,12050088.0,11758000.0,0.0,0.0,0.0,1.0
2021-04-01,12036509.0,11844000.0,0.0,0.0,0.0,1.0
2021-05-01,11264527.0,10982000.0,0.0,0.0,0.0,1.0
2021-06-01,8774199.0,11234000.0,-1.0,1.0,0.0,1.0
2021-07-01,5719275.0,6648000.0,-1.0,1.0,0.0,1.0
2021-08-01,7936289.0,6585000.0,0.0,0.0,0.0,1.0
2021-09-01,8929418.0,8655000.0,0.0,0.0,0.0,1.0
2021-10-01,11045643.0,10801000.0,0.0,0.0,0.0,1.0
2021-11-01,12027873.0,12603000.0,0.0,0.0,0.0,1.0
2021-12-01,12969942.0,13202000.0,0.0,0.0,0.0,1.0
2022-01-01,14299540.0,14323000.0,0.0,0.0,0.0,1.0
2022-02-01,10882096.0,10550000.0,0.0,0.0,0.0,1.0
2022-03-01,14559192.0,14430000.0,0.0,0.0,0.0,1.0
2022-04-01,12712973.0,13756000.0,0.0,0.0,0.0,1.0
2022-05-01,14399207.0,13624000.0,0.0,0.0,0.0,1.0
2022-06-01,14734582.0,16689000.0,0.0,1.0,0.0,1.0
2022-07-01,16277688.0,16774000.0,0.0,1.0,0.0,1.0
2022-08-01,17887177.0,17870000.0,0.0,0.0,0.0,1.0
